,"Day : 0 - 90"
Revenue,66280863
"Retail View",27443435
"Wholesales (B2B)",33162728
"Sales E Commerce",930000
Services,4744700
"Revenue from Successful R&D",0
"Sales Discount View",0
COGS,36067528
"Trading Profit",30213335
"Operating Expense View",12015140
"Other Income (Loss)",0
"Net Profit",18198195
